Domain,Domain category,Domain subcategory,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID,Output_list,Output_categories
Semiconductor manufacturing,Manufacturing systems,,sensor data,"['Root cause analysis', 'Forecasted inline value']",Data driven,"['CNN', 'Transformer']",No,4.0,2-s2.0-85137783354,"['root cause analysis', 'forecasted inline value']","['Other', 'Root cause analysis']"
Power cables/Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,Reflectometry-based signal analysis,Yes: interpretable signal analysis techniques,2.0,2-s2.0-85142388216,['fault prediction'],['Fault prediction']
Industrial machinery / Asset health management,Industrial systems,,"sensor data, time series",Remaining Useful Life,Data driven,"Deep Neural Networks, Discrete Wavelet Transform (DWT)",No,4.0,2-s2.0-85134767769,['remaining useful life'],['Remaining Useful Life']
Industrial systems / Mechanical systems (specifically kinematic chains),Industrial systems,,images,Fault prediction,Data driven,"Infrared thermography analysis (specific techniques not explicitly mentioned, likely image processing methods)",Yes: Visualization of thermal images and virtual environment facilitate interpretability,2.0,2-s2.0-85141087250,['fault prediction'],['Fault prediction']
Industrial motor drives / Electrical drives,Industrial systems,,sensor data,Fault prediction,Physics based,Analytical model,Yes: analytical model,1.0,2-s2.0-85142864284,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data-driven,ResNet,No,4.0,2-s2.0-85137825723,['fault prediction'],['Fault prediction']
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Data driven,Wavelet decomposition,Yes: Wavelet analysis,4.0,2-s2.0-85137471609,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,"sensor data, time series",Fault prediction,Data driven,"Data fusion techniques, IoT tools",Yes: Data fusion techniques,2.0,2-s2.0-85141847573,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"['DTW', 'LOF']",Yes: DTW and LOF are interpretable techniques,4.0,2-s2.0-85137762349,['fault prediction'],['Fault prediction']
Electronics manufacturing,Manufacturing systems,,"sensor data, structured data",['Fault prediction'],Rules and/or logic based,,Yes: Rules-based or diagnostic logic,4.0,2-s2.0-85130856046,['fault prediction'],['Fault prediction']
"Industrial systems with sensors, such as gantry crane systems",Industrial systems,,sensor data,Fault prediction,Hybrid,"Robust Kalman filter, Model-Free Control (MFC)",Yes: Kalman filter,2.0,2-s2.0-85144597955,['fault prediction'],['Fault prediction']
Industrial sensors and sensor signal processing,Industrial systems,,sensor data,Fault prediction,Data driven,Local Polynomial Models,Yes: Local Polynomial Models,2.0,2-s2.0-85143805042,['fault prediction'],['Fault prediction']
Industrial test equipment,Industrial systems,,sensor data,Fault prediction,Data driven,"['Wavelet analysis', 'LSTM neural network']",No,3.0,2-s2.0-85144063260,['fault prediction'],['Fault prediction']
Commercial buildings,Commercial buildings,,sensor data,Monitoring of KPIs / Performance evaluation,Data driven,Not specified,No,3.0,2-s2.0-85138147227,['monitoring of kpis / performance evaluation'],['Other']
Industrial motors / Electrical machinery,Industrial systems,,"sensor data, time series, structured data",Fault prediction,Data driven,"Growing Curvilinear Component Analysis (GCCA) neural network, Extended Park Vector Approach (EPVA)",Yes: Topological manifold analysis,4.0,2-s2.0-85146345713,['fault prediction'],['Fault prediction']
Industrial motors / Electrical machinery,Industrial systems,,"sensor data, time series",Fault prediction,Hybrid,"Extremum Seeking Control (ESC), Time-frequency analysis",Yes: Rule-based / signal analysis techniques,2.0,2-s2.0-85134685166,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,"sensor data, time series",Remaining Useful Life,Data driven,"CNN, Transformer, LSTM",No,4.0,2-s2.0-85134289175,['remaining useful life'],['Remaining Useful Life']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,Meta learning,No,4.0,2-s2.0-85130853383,['fault prediction'],['Fault prediction']
Manufacturing equipment (specifically hob spindle in machine tools),Manufacturing systems,,sensor data,Fault prediction,Data driven,CNN,Yes: feature output visualization,2.0,2-s2.0-85151640812,['fault prediction'],['Fault prediction']
Industrial machinery / Mechanical systems (specifically rolling bearings),Industrial systems,Rotating machinery / Bearings,"sensor data, time series",Remaining Useful Life,Data driven,"Statistical feature analysis, Correlation analysis",Yes: Rules and feature correlation explainability,2.0,2-s2.0-85151755412,['remaining useful life'],['Remaining Useful Life']
Industrial systems,Industrial systems,,"sensor data, time series",Fault prediction,Data driven,Convolutional Autoencoder,No,4.0,2-s2.0-85151708400,['fault prediction'],['Fault prediction']
Industrial systems (general engineering systems with vibration components),Industrial systems,,"sensor data, time series, images (frequency domain data from spectrum analysis)","Fault prediction, Remaining Useful Life",Data driven,"Convolutional Neural Network (CNN), Multi-head Self-Attention",No,3.0,2-s2.0-85134781815,"['fault prediction', ' remaining useful life']","['Fault prediction', 'Remaining Useful Life']"
Elevator / Lift systems,Commercial buildings,elevators,sensor data,Fault prediction,Hybrid,Probabilistic model checking,Yes: formal reasoning / probabilistic verification,4.0,2-s2.0-85164135898,['fault prediction'],['Fault prediction']
Industrial systems / Safety-critical processes,Industrial systems,,sensor data,Fault prediction,Rules and/or logic based,"['Sliding mode observer', 'Norm estimator', 'Reduced-order linear observer']",Yes: Sliding mode observer,1.0,2-s2.0-85144599041,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,structured data,Fault prediction,Rules and/or logic based,"Current consumption measurement, On-chip sensor",Yes: Rules-based detection,3.0,2-s2.0-85142828981,['fault prediction'],['Fault prediction']
Industrial systems with rotating machinery or bearings,Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,Machine Learning,No,4.0,2-s2.0-85137179220,['fault prediction'],['Fault prediction']
Industrial control systems,Industrial systems,,sensor data,Fault prediction,Data driven,"Sequence mining, Data dependency analysis",Yes: Interpretation of sequence mining and data dependency analysis,3.0,2-s2.0-85137772155,['fault prediction'],['Fault prediction']
Industrial motors / Electrical machinery,Industrial systems,,sensor data,Fault prediction,Data driven,Minimum variance beam-forming,No,3.0,2-s2.0-85146348967,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"Convolutional Multi-Head Attention, Domain Alignment",No,4.0,2-s2.0-85127589332,['fault prediction'],['Fault prediction']
Industrial systems / Power equipment,Industrial systems,,"sensor data, structured data",Fault prediction,Data driven,"SVM, KNN, RF, NBM, PCA","Yes: PCA (for classification visualization), other ML models are less interpretable",3.0,2-s2.0-85143982926,['fault prediction'],['Fault prediction']
Industrial control systems (specifically wind speed control devices),Industrial systems,Wind energy systems,sensor data,Fault prediction,Rules and/or logic based,"Expert system, fault tree analysis",Yes: rules and inference engine,2.0,2-s2.0-85141394249,['fault prediction'],['Fault prediction']
Motor and equipment monitoring in industrial settings,Industrial systems,,sensor data,Fault prediction,Physics based,Finite Element Analysis (FEA),Yes: FEA,2.0,2-s2.0-85159409238,['fault prediction'],['Fault prediction']
Industrial equipment / Manufacturing,Industrial systems,,sensor data,Remaining Useful Life,Data driven,Machine learning models,No,3.0,2-s2.0-85143132727,['remaining useful life'],['Remaining Useful Life']
Electric motors in industrial systems,Industrial systems,,"sensor data, time series",['Fault prediction'],Data driven,Vibration spectral analysis,Yes: Spectral analysis,4.0,2-s2.0-85139102658,['fault prediction'],['Fault prediction']
"Industrial systems (generic), not specific to HVAC, commercial buildings, pharmaceutical facilities, or chip manufacturing",Industrial systems,,structured data,Fault prediction,Rules and/or logic based,Residual-based detection,Yes: Residual bank and thresholds,2.0,2-s2.0-85134355824,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,"sensor data, time series",Remaining Useful Life,Data driven,"Deep Belief Network (DBN), Long Short-Term Memory (LSTM)",No,4.0,2-s2.0-85134325926,['remaining useful life'],['Remaining Useful Life']
Industrial motors / Electrical machinery,Industrial systems,,sensor data,Fault prediction,Data driven,Shallow Neural Network / CNN,No,1.0,2-s2.0-85146343296,['fault prediction'],['Fault prediction']
Industrial manufacturing,Industrial systems,,"sensor data, field data, iot data",Fault prediction,Data driven,"Fault detection algorithm (unspecified, likely statistical or ML-based)",Yes: intuitive fault diagnosis,3.0,2-s2.0-85185886323,['fault prediction'],['Fault prediction']
Commercial buildings,Commercial buildings,,sensor data,Remaining Useful Life,Data driven,Machine learning algorithms,No,4.0,2-s2.0-85179626177,['remaining useful life'],['Remaining Useful Life']
Industrial systems (specifically motor pump systems),Industrial systems,,sensor data,Fault prediction,Data driven,"Recurrent Neural Network (RNN), Self Organizing Map (SOM)",Yes: topological structure of the map and fault localization,3.0,2-s2.0-85185846678,['fault prediction'],['Fault prediction']
Industrial systems involving rolling bearings,Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"Generative Adversarial Network (GAN), Auxiliary classifier GAN, Spectrum normalization",No,4.0,2-s2.0-85184828635,['fault prediction'],['Fault prediction']
Manufacturing plants,Manufacturing systems,,"sensor data, measurements, images",Anomaly detection,Data driven,"GAN-based data imputation, Unsupervised anomaly detection methods",No,4.0,2-s2.0-85167780627,['anomaly detection'],['Fault detection']
Industrial systems (specifically pipeline or structural systems),Industrial systems,,sensor data,Fault prediction,Data driven,Algorithms for fault detection and localization (specific techniques not explicitly mentioned),Yes: interpretable algorithms for fault prediction and localization,3.0,2-s2.0-85183629741,['fault prediction'],['Fault prediction']
Industrial control systems,Industrial systems,,measured inputs and outputs,Fault prediction,Rules and/or logic based,High level Petri nets,Yes: Petri nets,2.0,2-s2.0-85185839187,['fault prediction'],['Fault prediction']
Industrial transmission systems,Industrial systems,,sensor data,['Fault prediction'],Data driven,,No,2.0,2-s2.0-85192395266,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"['Logistic Regression', 'Random Forest Classifier', 'Support Vector Machine', 'Decision Tree Classifier', 'Extreme Gradient Boost', 'Neural Networks']",No,4.0,2-s2.0-85152208691,['fault prediction'],['Fault prediction']
Industrial rotating equipment (such as bearings and gears) in mechanical systems,Industrial systems,Rotating machinery / Bearings,"sensor data, time series, images",Fault prediction,Data driven,"['ConvNeXt-CNN', 'CNN']",No,4.0,2-s2.0-85150441987,['fault prediction'],['Fault prediction']
Industrial motors,Industrial systems,,sensor data,Fault prediction,Data driven,SVM,No,4.0,2-s2.0-85187348413,['fault prediction'],['Fault prediction']
Industrial equipment / rotating machinery (specifically generator units),Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,Stress wave analysis (specific signal processing of high-frequency sensors),Yes: Interpretable signal analysis,3.0,2-s2.0-85160058243,['fault prediction'],['Fault prediction']
Industrial systems / industrial processes,Industrial systems,,sensor data,Fault prediction / Anomaly detection,Data driven,"['CNN', 'RNN']",No,3.0,2-s2.0-85187351140,['fault prediction / anomaly detection'],"['Fault prediction', 'Fault detection']"
Data center facilities,Data center,,sensor data,Fault prediction,Data driven,Not specified explicitly,No,4.0,2-s2.0-85141490123,['fault prediction'],['Fault prediction']
Industrial process control,Industrial systems,,sensor data,Fault prediction,Data driven,Event-based modeling and estimation,Yes: Event-based modeling,3.0,2-s2.0-85183458351,['fault prediction'],['Fault prediction']
