Domain,Domain category,Domain subcategory,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID
Chip manufacturing,Chip manufacturing,Chip manufacturing,sensor data,Fault prediction,Data driven,Ensemble learning,No,4.0,2-s2.0-85096898042
Industrial systems / Machinery fault diagnosis,Industrial systems,,"sensor data, time series",['Fault prediction'],Data driven,,No,3.0,2-s2.0-85123414882
Battery systems,Energy systems (not HVAC),Battery,sensor data,Fault prediction,Model-based,Observer (control theory),Yes: Residual-based fault detection,3.0,2-s2.0-85123362279
Industrial facilities and automation systems,Industrial systems,,sensor data,Fault prediction,Data driven,Fractional-order chaotic system,No,2.0,2-s2.0-85126882948
Other,Other,,sensor data,Remaining Useful Life,Data driven,LSTM,No,2.0,2-s2.0-85113292593
Industrial machinery,Industrial systems,,sensor data,Fault prediction,Data driven,Not specified,No,3.0,2-s2.0-85118437336
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Rules and/or logic based,"['Kalman Filter', 'Gaussian Mixture Model', 'Principal Component Analysis', 'Expectation-Maximization']",Yes: Kalman Filter and GMM are interpretable models,4.0,2-s2.0-85113416819
Pharmaceutical facilities,Pharmaceutical facilities,,sensor data,Decision making,Data driven,,No,2.0,2-s2.0-85100564986
Industrial systems / Rotating machinery,Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"['Random Forest', 'LSTM']",No,4.0,2-s2.0-85126833978
Wind energy systems,Energy systems (not HVAC),Wind energy systems,sensor data,Fault prediction,Hybrid,PI controller simulation,Yes: PI controller logic,3.0,2-s2.0-85086309661
Electrical Powertrain Systems,Power systems,,sensor data,Fault prediction,Hybrid,Extended Kalman Filter (EKF),Yes: residual analysis with threshold scheme,3.0,2-s2.0-85098492447
Aerospace,Aicraft / Aviation / Aerospace,,time series,Remaining Useful Life,Data driven,"Transformer, multi-head attention",No,1.0,2-s2.0-85123201042
Electrical microgrid systems,Electrical systems,,sensor data,Fault prediction,Hybrid,"Linear Matrix Inequalities (LMIs), Fuzzy logic (Takagi-Sugeno), State feedback, Observer","Yes: Fuzzy logic, LMIs, and observer-based methods are interpretable techniques",3.0,2-s2.0-85105015534
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,"Domain adaptation, Unsupervised learning",No,2.0,2-s2.0-85126863502
Industrial systems,Industrial systems,,"sensor data, time series","Remaining Useful Life, Failure prediction",Data driven,GRU-based Deep Networks,No,4.0,2-s2.0-85115447456
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Hybrid,"Kalman filter, Innovation decomposition",Yes: Residual decomposition and detection statistics are interpretable techniques,2.0,2-s2.0-85087081747
Other,Other,,structured data,Fault prediction,Data driven,Convergent Cross Mapping,Yes: causal link visualization,3.0,2-s2.0-85117719822
Microgrid systems,Other,,"sensor data, spectrum energy features",Fault prediction,Physics informed,"Frequency-domain analysis, Spectrum energy integration",Yes: Spectrum energy integration,4.0,2-s2.0-85123737477
Meteorological systems,Other,,sensor data,Fault prediction,Rules and/or logic based,Fault detection based on specific sensor fault detection methods (implied rules/logic),Yes: Rules-based fault detection,0.0,2-s2.0-85126190578
Vulnerable road users classification / Automotive sensing,Transportation systems,vehicles,"sensor data, images",Fault prediction,Data driven,"Sensor fusion, Data association, Multi-object tracking",No,2.0,2-s2.0-85133122798
Industrial sensors,Industrial systems,,images,Fault prediction,Data driven,"['CNN', 'Wavelet analysis']",Yes: Wavelet analysis,2.0,2-s2.0-85125966177
Industrial systems (general industrial maintenance or industry 4.0 applications),Industrial systems,,structured data,Fault prediction,Data driven,"['Decision Trees', 'Nearest Neighbors', 'Linear SVM', 'Random Forest', 'AdaBoost', 'Naive Bayes', 'XGBoost']",Yes: Decision Trees,3.0,2-s2.0-85088870998
Rocket engines / Spacecraft systems,Aicraft / Aviation / Aerospace,,sensor data,Fault prediction,Hybrid,"['Quantum genetic algorithm', 'BP neural network']",No,0.0,2-s2.0-85123396011
Photovoltaic (PV) farm / Renewable energy systems,Energy systems (not HVAC),solar,images,Fault prediction,Data driven,"Thermal imaging analysis, image processing (implied)",Yes: image-based interpretability,3.0,2-s2.0-85097779426
Industrial systems,Industrial systems,,sensor data,Remaining Useful Life,Data driven,"Deep Learning (implied, e.g., neural networks)",Yes: Shapley Additive explanation (SHAP),4.0,2-s2.0-85123428484
Manufacturing systems,Manufacturing systems,,sensor data,Fault prediction,Hybrid,Petri Nets,Yes: Petri Nets,2.0,2-s2.0-85114196942
Autonomous vehicles,Transportation systems,Vehicles,"sensor data, time series",['Fault prediction'],Rules and/or logic based,"['Linear Quadratic control', 'Hough Transform']",Yes: Rules-based control and image processing techniques,1.0,2-s2.0-85124880600
Aerospace systems / Aircraft systems,Aicraft / Aviation / Aerospace,,sensor data,Fault prediction,Data driven,Multivariate Adaptive Regression Splines (MARS),Yes: Local fault signature matrix,2.0,2-s2.0-85123827886
Spacecraft systems,Aicraft / Aviation / Aerospace,,high-dimensional sensor data,Fault prediction,Data driven,"['K-Nearest Neighbor (KNN)', 'Bayesian classifier', 'PCA+KNN']",Yes: Bayesian classifier,2.0,2-s2.0-85126869710
Other,Other,,structured data,Fault prediction,Data driven,,No,0.0,2-s2.0-85101000964
Industrial systems involving hydraulic actuators,Hydraulic systems,,sensor data,Fault prediction,Hybrid,"['Linear matrix inequality (LMI)', 'Nonlinear unknown input observer (NUIO)', 'Radial basis function neural network (RBFNN)', 'Lyapunov stability analysis']",Yes: Lyapunov stability analysis and observer-based methods provide interpretability,2.0,2-s2.0-85126246234
Hydrogen sensors,Other,,sensor data,Fault prediction,Data driven,Not explicitly specified in the abstract,No,2.0,2-s2.0-85125965149
Manufacturing equipment (specifically bearings in mechanical systems),Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"Variational Mode Decomposition (VMD), Computed Order Tracking (COT), Envelope Spectrum Analysis",Yes: Signal processing methods like VMD and COT are interpretable,3.0,2-s2.0-85112434220
High Voltage (HV) power plants,Power systems,,time series,Fault prediction,Data driven,"Capsule Neural Network (CapsNet), Residual Neural Network (ResNet), Constant-Q Transform (CQT)",No,3.0,2-s2.0-85101302490
Traction drive system in locomotives,Other,,sensor data,Fault prediction,Rules and/or logic based,"Structural analysis, Residual analysis, CUSUM algorithm",Yes: Structural analysis and residual-based methods are inherently interpretable,2.0,2-s2.0-85101998150
Chemical industrial processes,Industrial systems,chemical,structured data,Fault prediction,Rules and/or logic based,Linear matrix inequalities,Yes: rule-based / model-based techniques,2.0,2-s2.0-85114025699
Microgrids / Distributed Energy Resources,Energy systems (not HVAC),,sensor data,Fault prediction,Data driven,Sliding mode observer (SMO),Yes: Sliding mode observer (SMO),1.0,2-s2.0-85100979800
Structures/Structural health monitoring,Structural health monitoring,,sensor data,Remaining Useful Life,Data driven,"Not specified explicitly, but likely signal processing and possibly machine learning techniques for fatigue life prediction",No,3.0,2-s2.0-85088871354
Structural health monitoring / Engineering systems,Structural health monitoring,,"sensor data, time series",Remaining Useful Life,Hybrid,"Dynamic Bayesian Network, Particle filter algorithm",Yes: Bayesian Network,3.0,2-s2.0-85126242285
Chip manufacturing,Chip manufacturing,Chip manufacturing,structured data,Fault prediction,Data driven,"Normalization, cross-correlation",Yes: normalization and cross-correlation are interpretable techniques,4.0,2-s2.0-85123446701
Electrical power distribution systems,Power systems,,sensor data,Fault prediction,Data driven,Magnetic field analysis,Yes: Geometric Distribution Analysis,3.0,2-s2.0-85101033016
Electrical machinery / Motor systems,Electrical systems,,structured data,Remaining Useful Life,Hybrid,"Physics based, Machine learning algorithms",Yes: emulator-based and sensitivity analysis,3.0,2-s2.0-85092192539
"Industrial systems (general, with a specific case in hydraulic circuits in steel manufacturing)",Hydraulic systems,,sensor data,Fault prediction,Hybrid,Expert Knowledge integration with data-driven methods,Yes: Expert Knowledge integration,3.0,2-s2.0-85124962630
Industrial systems,Industrial systems,,sensor data,Fault prediction,Hybrid,Extended Kalman Filter (EKF),"Yes: Kalman filter (interpretable, state estimation)",2.0,2-s2.0-85106514921
Industrial process control systems,Industrial systems,,sensor data,Fault prediction,Data driven,"['Dynamic inner Principal Component Analysis (DiPCA)', 'Maximum Ratio Divergence Analysis (MRDA)']",Yes: Discriminant analysis methods,3.0,2-s2.0-85126887524
Transportation sector,Transportation systems,,sensor data,Fault prediction,Data driven,Feature extraction algorithm from electric current profile,Yes: Feature importance/selection,3.0,2-s2.0-85124170545
Road transport,Transportation systems,,"sensor data, images, structured data (location tagging, complaints, prioritization)","Fault prediction, Remaining Useful Life",Data driven,Machine Learning,No,1.0,2-s2.0-85112838500
Mechanical systems / Machinery (specifically gear systems in machines),Mechanical systems,,sensor data,Fault prediction,Rules and/or logic based,Key-delay technology (rule-based) and fault diagnosis logic,Yes: Interpretable rules and logic-based methods,2.0,2-s2.0-85123438094
Other,Other,,structured data,Fault prediction,Data driven,D-S evidence theory,Yes: Evidence theory,2.0,2-s2.0-85094601291
Rail vehicle transmission system,Transportation systems,Vehicles,sensor data,Fault prediction,Data driven,"['Support Vector Machine (SVM)', 'Fuzzy integral fusion algorithm (FI)']",Yes: rule-based fusion and SVM posterior probabilities,2.0,2-s2.0-85124648286
Industrial pneumatic systems,Industrial systems,,sensor data,Fault prediction,Data driven,RUSBoosted bagged trees,No,3.0,2-s2.0-85123450051
Wireless Sensor Networks (WSN),Sensor networks,,sensor data,Fault prediction,Statistics based,Statistical analysis (mean and z-test),Yes: statistical analysis,1.0,2-s2.0-85089778862
Industrial equipment / Manufacturing,Industrial systems,,sensor data,Remaining Useful Life,Data driven,Artificial Neural Network (ANN),No,3.0,2-s2.0-85088868137
Space systems / Satellite systems,Satellite systems,,sensor data,Anomaly detection / Event recording,Data driven,Not specified,No,0.0,2-s2.0-85091694052
Wireless Sensor Networks,Sensor networks,,sensor data,Fault prediction,Data driven,"SVM, Grey Wolf Optimization (GWO)",No,0.0,2-s2.0-85086313676
Electrical power distribution networks,Power systems,,sensor data,Fault prediction,Rules and/or logic based,Charge integration method,Yes: rule-based method,2.0,2-s2.0-85116614369
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Hybrid,Rules and ML,Yes: rules-based,3.0,2-s2.0-85123379222
Embedded and IoT security systems,IoT systems,,structured data,Security assurance and recovery status,Other,"Custom lightweight protocols, FPGA-based implementation",Yes: rule-based protocols and security mechanisms,1.0,2-s2.0-85099457019
Industrial motors (specifically induction motors),Industrial systems,,sensor data,Fault prediction,Data driven,"['1D CNN', 'Residual network', 'Dempster-Shafer evidence theory']",Yes: Dempster-Shafer evidence theory,3.0,2-s2.0-85123417161
Underwater vehicles,Transportation systems,Vehicles,"sensor data, time series",['Fault prediction'],Rules and/or logic based,Dynamic model analysis,Yes: rule-based detection using sensor thresholds and dynamic modeling,2.0,2-s2.0-85098529414
Power distribution systems,Power systems,,"sensor data, time series, images",Fault prediction,Data driven,Convolutional Neural Networks (CNN),Yes: Occlusion map,4.0,2-s2.0-85091344716
Paper and pulp industry,Other,,sensor data,Anomaly detection,Data driven,Not specified,No,2.0,2-s2.0-85098465182
Chip manufacturing,Chip manufacturing,,"['sensor data', 'time series', 'structured data', 'images']",Fault prediction,Data driven,Autoencoder,No,4.0,2-s2.0-85102507156
Manufacturing / Industrial systems,Industrial systems,,time series,Remaining Useful Life,Data driven,Artificial Neural Network (ANN),No,4.0,2-s2.0-85093694039
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Current estimation-based fault detection,Yes: Fault detection via current estimation,3.0,2-s2.0-85096551575
Large Generating Units (Hydropower and Steam Turbine),Other,,sensor data,Fault prediction,Data driven,"Stresswave Analysis, IoT data analysis",No,4.0,2-s2.0-85111411061
Underwater robots / Marine systems,Robotics,robots,sensor data,Fault prediction,Rules and/or logic based,"Diagnostic observers, Sliding mode observers",Yes: Residuals and diagnostic rules,2.0,2-s2.0-85124700969
Industrial control systems,Industrial systems,,sensor data,Fault prediction,Data driven,Wavelet transform,Yes: wavelet transform,4.0,2-s2.0-85123279520
Electrical power distribution systems,Power systems,,sensor data,Fault prediction,Physics based,Electromagnetic field simulation,Yes: Interpretable electromagnetic models,2.0,2-s2.0-85123274590
Internet of Things (IoT) systems,Other,,sensor data,Fault prediction,Hybrid,['Kalman filter'],Yes: Kalman filter,2.0,2-s2.0-85105440130
